552.200000000000,200000000000,Controladoria Setorial da Saúde,SES/CONT
552.200100000000,200100000000,Assessoria de Acompanhamento de Diligencias de Orgaos de Controle,SES/CONT/ASDOC
552.200300000000,200300000000,Unidade Setorial Ouvidoria,SES/CONT/OUVIDORIA
552.200301000000,200301000000,Gerência de Acompanhamento de Ouvidorias,SES/CONT/OUVIDORIA/GEACO
552.200302000000,200302000000,Gerência de Triagem e Controle de Qualidade,SES/CONT/OUVIDORIA/GETRIC
552.200200000000,200200000000,Unidade Setorial de Controle Interno,SES/CONT/USCI
552.200202000000,200202000000,Diretoria de Auditoria,SES/CONT/USCI/DIAUD
552.200201000000,200201000000,Diretoria de Inspeção,SES/CONT/USCI/DINSP
552.200500000000,200500000000,Unidade Setorial de Correição Administrativa,SES/CONT/USCOR
552.200505000000,200505000000,Diretoria de Análise Prévia e Procedimentos Preliminares,SES/CONT/USCOR/DIAPPP
552.200503000000,200503000000,Comissão Especial de Juízo de Admissibilidade,SES/CONT/USCOR/DIMEC
552.200501000000,200501000000,Diretoria de Procedimentos Administrativos e Disciplinares e de Fornecedores,SES/CONT/USCOR/DIPAD
552.200400000000,200400000000,Unidade Setorial de Transparencia e Controle Social,SES/CONT/USTRAC
552.200402000000,200402000000,Diretoria de Controle Social,SES/CONT/USTRAC/DICOS
552.200401000000,200401000000,Diretoria de Transparencia Ativa e Passiva,SES/CONT/USTRAC/DITRAN
