552.360000000000,360000000000,Superintendência da Região de Saúde Oeste,SES/SRSOE
552.361000000000,361000000000,Assessoria de Planejamento em Saúde,SES/SRSOE/ASPLAN
552.360300000000,360300000000,Diretoria Administrativa,SES/SRSOE/DA
552.360305000000,360305000000,Gerência de Apoio Operacional das Unidades de Atenção Primária da Região Oeste,SES/SRSOE/DA/GAOAPS-OE
552.360305010000,360305010000,"Núcleo de Atividades Gerais, Manutenção Predial e Transporte",SES/SRSOE/DA/GAOAPS-OE/NAGMPT
552.360305030000,360305030000,Núcleo de Hotelaria em Saúde,SES/SRSOE/DA/GAOAPS-OE/NHS
552.360305020000,360305020000,Núcleo de Logística Farmacêutica,SES/SRSOE/DA/GAOAPS-OE/NLF
552.360305050000,360305050000,Núcleo de Patrimônio e Documentação Administrativa,SES/SRSOE/DA/GAOAPS-OE/NPDOC
552.360305060000,360305060000,Núcleo de Tecnologia da Informação,SES/SRSOE/DA/GAOAPS-OE/NTINF
552.360305040000,360305040000,Núcleo de Almoxarifado,SES/SRSOE/DA/GAOAPS-OE/NUAL
552.360304000000,360304000000,Gerência de Apoio Operacional das Unidades de Atenção Especializada em Brazlândia,SES/SRSOE/DA/GAOESP-BRZ
552.360304010000,360304010000,Núcleo de Atividades Gerais e Manutenção Predial,SES/SRSOE/DA/GAOESP-BRZ/NAGMP
552.360304040000,360304040000,Núcleo de Engenharia Clínica e Física Médica,SES/SRSOE/DA/GAOESP-BRZ/NECFM
552.360304030000,360304030000,Núcleo de Farmácia Hospitalar,SES/SRSOE/DA/GAOESP-BRZ/NFH
552.360304020000,360304020000,Núcleo de Hotelaria em Saúde,SES/SRSOE/DA/GAOESP-BRZ/NHS
552.360304060000,360304060000,Núcleo de Material Esterilizado,SES/SRSOE/DA/GAOESP-BRZ/NME
552.360304070000,360304070000,Núcleo de Patrimônio e Documentação Administrativa,SES/SRSOE/DA/GAOESP-BRZ/NPDOC
552.360304080000,360304080000,Núcleo de Transporte,SES/SRSOE/DA/GAOESP-BRZ/NT
552.360304090000,360304090000,Núcleo de Tecnologia da Informação,SES/SRSOE/DA/GAOESP-BRZ/NTINF
552.360304050000,360304050000,Núcleo de Almoxarifado,SES/SRSOE/DA/GAOESP-BRZ/NUAL
552.360303000000,360303000000,Gerência de Apoio Operacional das Unidades de Atenção Especializada na Ceilândia,SES/SRSOE/DA/GAOESP-CEI
552.360303010000,360303010000,Núcleo de Atividades Gerais e Manutenção Predial,SES/SRSOE/DA/GAOESP-CEI/NAGMP
552.360303040000,360303040000,Núcleo de Engenharia Clínica e Física Médica,SES/SRSOE/DA/GAOESP-CEI/NECFM
